,Año,Tmax_to,Tmin_to,Prec_to
0,0,0.0,0.0,0.0
1,1985,30.84,19.06,5.9
2,1986,0.0,0.0,0.0
3,1987,31.26,19.07,9.86
4,1988,0.0,20.28,8.25
5,1989,0.0,20.67,7.35
6,1990,30.48,20.39,8.15
7,1991,30.13,20.63,9.21
8,1992,29.94,20.51,7.4
9,1993,29.69,20.56,8.45
10,1994,29.82,20.41,10.74
11,1995,31.16,19.58,10.32
12,1996,28.98,21.14,11.72
13,1997,31.09,23.01,9.02
14,1998,30.11,23.39,10.19
15,1999,29.38,19.45,8.37
16,2000,29.59,0.0,8.35
17,2001,29.99,0.0,7.74
18,2002,31.5,22.69,5.38
19,2003,29.3,21.21,12.22
20,2004,29.94,21.46,9.71
21,2005,30.44,21.75,7.41
22,2006,29.99,21.75,9.52
23,2007,30.87,21.58,7.97
24,2008,30.4,21.77,9.45
25,2009,30.46,21.99,7.32
26,2010,30.69,21.92,11.34
27,2011,29.95,21.5,11.09
28,2012,30.02,21.45,11.56
