day,month,year,Estacion_1,Estacion_2,Estacion_3,Estacion_4,Estacion_5,Estacion_6,Estacion_7,Estacion_8,Estacion_9
1,1,1985,NA,0,NA,1,0,0,0,0,NA
2,1,1985,NA,0,NA,0,0,0,0,0,NA
3,1,1985,NA,0,NA,0,0,0,0,0,NA
4,1,1985,NA,0,NA,0,0,0,0,0,NA
5,1,1985,NA,0,NA,0,0,0,0,0,NA
6,1,1985,NA,0,NA,0,0,0,0,0,NA
7,1,1985,NA,0,NA,0,0,0,0,0,NA
8,1,1985,NA,0,NA,0,0,0,0,0,NA
9,1,1985,NA,0,NA,0,0,0,0,0,NA
10,1,1985,NA,0,NA,0,0,0,0,0,NA
11,1,1985,NA,0,NA,0,0,0,0,0,NA
12,1,1985,NA,0,NA,0,0,0,0,0,NA
13,1,1985,NA,0,NA,0,0,0,0,0,NA
14,1,1985,NA,0,NA,0,0,0,0,0,NA
15,1,1985,NA,0,NA,0,0,0,0,0,NA
16,1,1985,NA,0,NA,0,0,0,0,0,NA
17,1,1985,NA,0,NA,0,0,0,0,0,NA
18,1,1985,NA,0,NA,0,0,0,0,0,NA
19,1,1985,NA,0,NA,0,0,0,0,0,NA
20,1,1985,NA,0,NA,0,0,0,0,0,NA
21,1,1985,NA,0,NA,0,0,0,0,0,NA
22,1,1985,NA,0,NA,0,0,0,0,0,NA
23,1,1985,NA,0,NA,0,0,0,0,0,NA
24,1,1985,NA,0,NA,0,0,0,0,0,NA
25,1,1985,NA,0,NA,0,0,0,0,0,NA
26,1,1985,NA,0,NA,0,0,0,0,0,NA
27,1,1985,NA,0,NA,0,0,0,0,0,NA
28,1,1985,NA,0,NA,0,0,0,0,0,NA
29,1,1985,NA,0,NA,0,0,0,0,0,NA
30,1,1985,NA,0,NA,0,0,0,0,0,NA
31,1,1985,NA,0,NA,0,0,0,0,0,NA
1,2,1985,NA,0,NA,0,0,0,0,0,NA
2,2,1985,NA,0,NA,0,0,0,0,0,NA
3,2,1985,NA,0,NA,0,0,0,0,0,NA
4,2,1985,NA,0,NA,0,0,0,0,0,NA
5,2,1985,NA,0,NA,0,0,0,0,0,NA
6,2,1985,NA,0,NA,0.1,0,0,0,0,NA
7,2,1985,NA,0,NA,0,0.9,0,0,0,NA
8,2,1985,NA,0,NA,0.3,3.6,0.4,0,0,NA
9,2,1985,NA,6.3,NA,9.6,0.6,0,0,0,NA
10,2,1985,NA,0,NA,3.9,0,0,0,0,NA
11,2,1985,NA,0,NA,0,0,0,0,0,NA
12,2,1985,NA,0,NA,0,0,0,0,0,NA
13,2,1985,NA,0,NA,0,0,0,0,0,NA
14,2,1985,NA,0,NA,0,0,0,0,0,NA
15,2,1985,NA,0,NA,0,0,0,0,0,NA
16,2,1985,NA,0,NA,0,0,0,0,0,NA
17,2,1985,NA,0,NA,0,0,0,0,0,NA
18,2,1985,NA,0,NA,0,0,0,0,0,NA
19,2,1985,NA,0,NA,0,0,0,0,0,NA
20,2,1985,NA,0,NA,0,0,0,0,0,NA
21,2,1985,NA,0,NA,0,0,0,0,0,NA
22,2,1985,NA,0,NA,0,0,0,0,0,NA
23,2,1985,NA,0,NA,0,0,0,0,0,NA
24,2,1985,NA,0,NA,0,0,0,0,0,NA
25,2,1985,NA,0,NA,0,0,0,0,0,NA
26,2,1985,NA,0,NA,0,0,0,0,0,NA
27,2,1985,NA,0,NA,0,0,0,0,0,NA
28,2,1985,NA,0.1,NA,9.2,0,0,0,0,NA
1,3,1985,NA,0,NA,0.6,NA,0,0,0,NA
2,3,1985,NA,3.8,NA,6.7,NA,1.4,1.2,0.1,NA
3,3,1985,NA,0,NA,0,NA,0,0,0,NA
4,3,1985,NA,0,NA,0.3,NA,0,4.2,0,NA
5,3,1985,NA,0.7,NA,0.8,NA,0,0,4.4,NA
6,3,1985,NA,27.7,NA,50.4,NA,0,0,0,NA
7,3,1985,NA,0,NA,0,NA,0,0,0,NA
8,3,1985,NA,0,NA,0,NA,0,0,0,NA
9,3,1985,NA,0,NA,0,NA,0,0,0,NA
10,3,1985,NA,0,NA,0,NA,0,0,0,NA
11,3,1985,NA,0,NA,0,NA,0,0.3,0,NA
12,3,1985,NA,0,NA,0,NA,0,0,0,NA
13,3,1985,NA,0,NA,0,NA,0,0,0,NA
14,3,1985,NA,0,NA,0,NA,0,0,0,NA
15,3,1985,NA,0,NA,0,NA,0,0,0,NA
16,3,1985,NA,0,NA,0,NA,0,0,0,NA
17,3,1985,NA,0,NA,0,NA,0,0,0,NA
18,3,1985,NA,0,NA,2.6,NA,0,0,0,NA
19,3,1985,NA,1.5,NA,4.2,NA,0,4.2,0,NA
20,3,1985,NA,0,NA,1,NA,0,0,0,NA
21,3,1985,NA,0,NA,0,NA,0,0,0,NA
22,3,1985,NA,0,NA,0,NA,0,0,0,NA
23,3,1985,NA,0,NA,0,NA,0,0,0,NA
24,3,1985,NA,0,NA,0,NA,0,0,0,NA
25,3,1985,NA,0,NA,1.3,NA,0,0,1.2,NA
26,3,1985,NA,7.1,NA,8.9,NA,17.7,7,0,NA
27,3,1985,NA,0.9,NA,0.9,NA,2.2,2.5,0.2,NA
28,3,1985,NA,6.4,NA,13.3,NA,12.4,5.8,0.2,NA
29,3,1985,NA,0,NA,2.9,NA,1.2,0,0.9,NA
30,3,1985,NA,0,NA,11.7,NA,NA,0,1.2,NA
31,3,1985,NA,12.6,NA,16.9,NA,56.9,0.5,2.9,NA
1,4,1985,NA,5.7,NA,13.6,NA,3.2,20,3.8,NA
2,4,1985,NA,2.8,NA,8.7,NA,6.5,0.8,1,NA
3,4,1985,NA,0,NA,4.1,NA,1.5,0,0,NA
4,4,1985,NA,9.4,NA,7.6,NA,0,0,0,NA
5,4,1985,NA,13,NA,8.9,NA,0,0,0,NA
6,4,1985,NA,2,NA,30.4,NA,10.1,0,0,NA
7,4,1985,NA,0,NA,1.2,14.8,0,0.8,0,NA
8,4,1985,NA,0,NA,0,0,0,0,0,NA
9,4,1985,NA,0,NA,0,0.5,0,0,0,NA
10,4,1985,NA,0,NA,3.3,15.1,7.4,0,0,NA
11,4,1985,NA,0,NA,0,0,0,0,0,NA
12,4,1985,NA,0,NA,0,0,0,0,0,NA
13,4,1985,NA,0,NA,0,0,0,0,0,NA
14,4,1985,NA,0,NA,0,0,0,0,0,NA
15,4,1985,NA,0,NA,0,0.5,0,0.2,0,NA
16,4,1985,NA,0,NA,0,0,0,0,0,NA
17,4,1985,NA,0,NA,0,0,0,0,0,NA
18,4,1985,NA,0,NA,0.1,0.5,0,0,0,NA
19,4,1985,NA,29.3,NA,23.3,32.5,9,12,2.5,NA
20,4,1985,NA,35.7,NA,31.6,110.4,32.4,35.2,92,NA
21,4,1985,NA,0.5,NA,0.1,2.2,0.9,0,0,NA
22,4,1985,NA,0,NA,1.7,0,0,47.1,21.5,NA
23,4,1985,NA,57.3,NA,47.2,47,138.2,60,73.5,NA
24,4,1985,NA,2.5,NA,0.2,2.6,0.5,0.6,0,NA
25,4,1985,NA,23.4,NA,88.7,75.4,5,2,3.1,NA
26,4,1985,NA,4.9,NA,1.6,0.9,1.6,40,11.8,NA
27,4,1985,NA,22.3,NA,1.5,0,0,0,3.5,NA
28,4,1985,NA,0.3,NA,7.6,0.7,45.6,3.6,0.2,NA
29,4,1985,NA,0,NA,10.4,0,9.6,2.3,6.8,NA
30,4,1985,NA,46.7,NA,3.1,3,2.4,1,0,NA
1,5,1985,NA,1.2,NA,5.6,1,NA,30,NA,NA
2,5,1985,NA,2,NA,1.6,0,NA,13.5,154.2,NA
3,5,1985,NA,13.1,NA,34.6,12.1,NA,0,0.8,NA
4,5,1985,NA,4.8,NA,6.3,0,NA,29.3,14.2,NA
5,5,1985,NA,30.2,NA,26.8,26.3,NA,0.3,1.8,NA
6,5,1985,NA,25.5,NA,20.5,11.5,NA,0,6,NA
7,5,1985,NA,16.2,NA,15.3,20.7,NA,40,0,NA
8,5,1985,NA,13.7,NA,3,6.8,NA,38,66.2,NA
9,5,1985,NA,1.7,NA,3,5.6,NA,10,24,NA
10,5,1985,NA,45.2,NA,43.1,20.4,NA,5,25.1,NA
11,5,1985,NA,0.6,NA,0.1,0,NA,2.6,2.2,NA
12,5,1985,NA,34.6,NA,6.7,19.1,NA,3.5,6.5,NA
13,5,1985,NA,5.5,NA,7,9.7,NA,0,0,NA
14,5,1985,NA,0,NA,10.6,0.2,NA,30,68.4,NA
15,5,1985,NA,20.4,NA,13.4,37.7,NA,60,21.5,NA
16,5,1985,NA,76.6,NA,92.2,35.5,NA,52,32,NA
17,5,1985,NA,15,NA,1.1,0.6,NA,5,3.6,NA
18,5,1985,NA,NA,NA,46.8,47.9,NA,20,2,NA
19,5,1985,NA,NA,NA,3.2,9.4,NA,0,0,NA
20,5,1985,NA,NA,NA,8.1,0.6,NA,0,0,NA
21,5,1985,NA,4.5,NA,14.5,8.8,NA,0,0,NA
22,5,1985,NA,NA,NA,15,2.6,NA,0,0,NA
23,5,1985,NA,11.1,NA,18.5,28.7,NA,20,0.9,NA
24,5,1985,NA,0.8,NA,4.2,0.6,NA,0,0,NA
25,5,1985,NA,2.3,NA,35.5,4,NA,19,9.3,NA
26,5,1985,NA,7.5,NA,9,12.5,NA,10,14.8,NA
27,5,1985,NA,5.5,NA,51.4,32.9,NA,10,37.8,NA
28,5,1985,NA,30.9,NA,115.3,48.6,NA,0,0,NA
29,5,1985,NA,6.4,NA,7.9,8.7,NA,60,11,NA
30,5,1985,NA,14.6,NA,41.7,28.9,NA,30,33.5,NA
