day,month,year,Estacion_1,Estacion_2,Estacion_3,Estacion_4,Estacion_5,Estacion_6,Estacion_7,Estacion_8,Estacion_9
1,1,1985,NA,NA,NA,20.2,NA,20,17,20,NA
2,1,1985,NA,23,NA,20.6,NA,20.3,17.4,22.2,NA
3,1,1985,NA,22.6,NA,22.4,22.1,22.2,17,21.2,NA
4,1,1985,NA,21.6,NA,20.3,20.2,21.4,NA,21,NA
5,1,1985,NA,23.2,NA,22.2,NA,23.1,NA,22.6,NA
6,1,1985,NA,21.6,NA,22.4,22.6,NA,NA,22.4,NA
7,1,1985,NA,21,NA,21.2,21.5,21.2,16,22.8,NA
8,1,1985,NA,21,NA,21.2,21.1,21,20.4,21.4,NA
9,1,1985,NA,20.6,NA,20.9,20,20.2,18.8,22,NA
10,1,1985,NA,22.6,NA,19.6,19.7,20.3,19,21.6,NA
11,1,1985,NA,NA,NA,20.8,21.2,21.2,17,21.4,NA
12,1,1985,NA,24,NA,23,22.8,23.1,NA,22.4,NA
13,1,1985,NA,22.4,NA,23.1,23,24,NA,20.6,NA
14,1,1985,NA,21.2,NA,22.6,22.4,22.4,19,21.4,NA
15,1,1985,NA,23.2,NA,21.2,20.2,21.3,18.4,21,NA
16,1,1985,NA,20.8,NA,20.4,19.6,21.2,18.4,19.6,NA
17,1,1985,NA,22.8,NA,20.7,18.1,18.3,NA,19,NA
18,1,1985,NA,22.6,NA,21.4,20.3,22.2,NA,21.8,NA
19,1,1985,NA,21.6,NA,22.5,22.5,NA,20,19.8,NA
20,1,1985,NA,19.8,NA,21,21,NA,NA,21.6,NA
21,1,1985,NA,20.6,NA,19.8,18.7,NA,NA,21.4,NA
22,1,1985,NA,20,NA,21.4,20,20.1,NA,20.8,NA
23,1,1985,NA,21,NA,21.4,20.9,22.4,20.4,21.4,NA
24,1,1985,NA,21.2,NA,19.1,21.1,22.4,20,18.6,NA
25,1,1985,NA,20.6,NA,20.6,20.2,19,17.8,18.8,NA
26,1,1985,NA,NA,NA,20.2,20.5,22.1,18.6,20.2,NA
27,1,1985,NA,23.2,NA,22.7,22.7,24,17.8,23,NA
28,1,1985,NA,20.8,NA,22.5,22.4,NA,17.8,21.2,NA
29,1,1985,NA,23,NA,20.6,19.1,22.4,18,20,NA
30,1,1985,NA,22,NA,22.1,20.7,22.3,NA,20.6,NA
31,1,1985,NA,NA,NA,21.4,21.9,21.1,NA,22.4,NA
1,2,1985,NA,20,NA,20.3,20.7,22.1,17,21.4,NA
2,2,1985,NA,20,NA,21.2,21.1,19.7,NA,22,NA
3,2,1985,NA,NA,NA,22,15.8,NA,16,20.4,NA
4,2,1985,NA,19.2,NA,20.3,16,NA,16,24,NA
5,2,1985,NA,19,NA,21.3,16,17.1,15.4,NA,NA
6,2,1985,NA,21.4,NA,22.1,22,20.1,16,20.4,NA
7,2,1985,NA,21.2,NA,21,20.8,22.4,15,23.4,NA
8,2,1985,NA,22.4,NA,21.4,21.4,21.3,16,22.8,NA
9,2,1985,NA,21.8,NA,21,21.1,22.3,NA,22.6,NA
10,2,1985,NA,21.8,NA,21.5,21.7,23,NA,21.8,NA
11,2,1985,NA,22.2,NA,22.1,NA,22.4,21.2,24.2,NA
12,2,1985,NA,23,NA,21.9,22.1,22.2,20,21.6,NA
13,2,1985,NA,22.4,NA,22.1,20.9,22.4,18.2,21.2,NA
14,2,1985,NA,22.2,NA,22.9,20,21.3,20,21.4,NA
15,2,1985,NA,23.8,NA,22.2,23,22.1,20,21.2,NA
16,2,1985,NA,22,NA,21.9,20.1,22.2,19.8,23.4,NA
17,2,1985,NA,23.6,NA,23,22.5,25,19.2,22.6,NA
18,2,1985,NA,22.8,NA,23.7,22.8,22.3,17.2,23.6,NA
19,2,1985,NA,19.6,NA,20.7,19.2,20.3,19,20.6,NA
20,2,1985,NA,22,NA,20.3,19.1,18.4,18,20.4,NA
21,2,1985,NA,22.8,NA,23.8,21.5,23.4,17,23.2,NA
22,2,1985,NA,21.8,NA,23.6,19.6,22.4,16,21.4,NA
23,2,1985,NA,23,NA,21.9,21.9,23.3,17,22.6,NA
24,2,1985,NA,20.4,NA,21.2,19.8,20.2,16,21,NA
25,2,1985,NA,23.2,NA,22.9,23.6,23,15,22.6,NA
26,2,1985,NA,22.6,NA,22.9,22.3,23.4,NA,22.8,NA
27,2,1985,NA,21.4,NA,21.5,21.3,21.3,NA,22.8,NA
28,2,1985,NA,23.2,NA,23,21.7,22,NA,22.8,NA
1,3,1985,NA,22.4,NA,21.3,NA,NA,NA,22.2,NA
2,3,1985,NA,24.2,NA,22.4,NA,24,NA,22.4,NA
3,3,1985,NA,22.6,NA,22.5,NA,24,NA,23.4,NA
4,3,1985,NA,22.8,NA,22.8,NA,22.4,NA,24.4,NA
5,3,1985,NA,NA,NA,23,NA,22.1,NA,22.6,NA
6,3,1985,NA,22.4,NA,22.9,NA,NA,NA,23.6,NA
7,3,1985,NA,22,NA,20.8,NA,22.3,NA,20.8,NA
8,3,1985,NA,23.6,NA,23.3,NA,23.1,NA,21.2,NA
9,3,1985,NA,22.4,NA,20.2,NA,21.1,NA,21.6,NA
10,3,1985,NA,22.6,NA,22.9,NA,24,NA,23.6,NA
11,3,1985,NA,23,NA,22.3,NA,NA,NA,24.8,NA
12,3,1985,NA,25,NA,25.2,NA,23.4,NA,25.8,NA
13,3,1985,NA,25.2,NA,24.8,NA,25.3,NA,24.8,NA
14,3,1985,NA,24.8,NA,24.6,NA,24.2,NA,24.4,NA
15,3,1985,NA,22.8,NA,23.2,NA,24.1,NA,23.8,NA
16,3,1985,NA,24.4,NA,24.5,NA,25,NA,23.2,NA
17,3,1985,NA,NA,NA,23.2,NA,27,NA,22.2,NA
18,3,1985,NA,25,NA,24.8,NA,NA,NA,22.4,NA
